ページ数,追加文字列,削除文字列,文脈,分類カテゴリ,分類理由
138,等により///なった体制整備に向けた取組を進め,を図り///なって,法」（平成15年法律第44号）上「中間貯蔵開始後30年以内に福島県外での最終処分を完了するために必要な措置を講ずる」旨が定められており、国として責任を持って取り組んでいく。最終処分量を低減するため、国民の理解の下、政府一体となって除去土壌等の減容・再生利用等を進めることが重要であり、「中間貯蔵除去土壌等の減容・再生利用技術開発戦略」及び「工程表」に沿って、減容技術の開発・実証等を行うとともに、これらの取組の安全性等について、分かりやすい情報発信を行うなど、全国に向けた理解醸成活動を推進する。再生利用先の創出等については、関係省庁等の連携強化等によりを図り、政府一体となった体制整備に向けた取組を進めなって、地元の理解を得ながら具体化を推進する。さらに、福島県外での最終処分に関する調査検討･調整などを進める。,6,「を図り」から「体制整備に向けた取組を進め」に意味が変わっているため。
138,廃炉・汚染水・処理水対策関係閣僚等会議,閣議,（令和３年４月13日廃炉・汚染水・処理水対策関係閣僚等会議閣議決定）に基づき、環境中の状況を把握し風評影響を抑制するため、客観性・透明性・信頼性を徹底した海域モニタリングを着実に実施する。,6,「閣議」から「廃炉・汚染水・処理水対策関係閣僚等会議」への変更は意味に影響する。
139,の被害者の権利利益の保全等を図るための特別措置に関する法律（平成８年法律第85号）第２条第１項,：特定非常災害特別措置法第２条第1項,168特定非常災害の被害者の権利利益の保全等を図るための特別措置に関する法律（平成８年法律第85号）第２条第１項：特定非常災害特別措置法第２条第1項に定義される著しく異常かつ激甚な非常災害のことをいう。,3,法律名の補完により、正式名称が明記されたため。
142,,設置,電動車の導入や充電・水素充てんインフラの整備を設置促進するなどの道路交通をグリーン化する取組を進める。また、いわゆる誘発・転換交通が発生する可能性があることを認識しつつ、渋滞を原因とする当該区間におけるCO2の排出削減を図る渋滞対策としての幹線道路ネットワークの強化等の道路交通を適正化する取組169のほか、道路整備・管理等のライフサイクル全体の低炭素化を図り、道路施設の脱炭素化を推進する。さらに、ゼロエミッション船等の開発・導入、生産基盤構築等を支援するなどのそれら船舶の普及促進に向けた取組、水素燃料電池,6,「設置」が削除され、意味が変わる可能性があるため。
143,９%,9%,170輸送量当たりのCO2排出量は、旅客では鉄道が自家用乗用車（電気自動車は除く）の約22%、貨物では鉄道が営業用貨物車の約９%9%、船舶が営業用貨物車の約20%となっている（2021年度）。,1,重複した数字の削除はフォーマットの正規化に該当する。
144,する,し、排出量の２割を占める,我が国の産業競争力の強みであるバリューチェーンを構成するし、排出量の２割を占める中堅・中小企業の脱炭素化を推進するため、各地域の自治体、金融機関、経済団体等が連携して地域ぐるみで支援する体制を構築するとともに、「知る」,6,削除により文意が変わり、排出量の割合情報が失われたため。
144,報告義務///のない///が///を,の///がより,地球温暖化対策推進法に定める温室効果ガス排出量の算定・報告・公表制度について、バリューチェーン全体の削減や、CCUS／カーボンリサイクル、吸収等の新たな取組の促進にもつながるよう、制度の見直し等の検討を進める。また、省エネ法・温対法・フロン法電子報告システム（EEGS）の拡充等により、報告義務のない中堅・中小企業がの排出量算定・公表をがより容易にできる環境を整備する。,1,助詞の修正により文の意味を明確にしたため。
146,を推進する,や、「地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律」（平成22年法律第72号）に基づく地域連携保全活動に対す,国内のあらゆる主体の参画と連携を促進し、生物多様性の保全とその持続可能な利用の確保に取り組むため、多様な主体で構成される「2030生物多様性枠組実現日本会議」（J-GBF）を通じた各主体間のパートナーシップによる取組を推進するや、「地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律」（平成22年法律第72号）に基づく地域連携保全活動に対す,6,削除により法律に基づく活動の具体性が失われたため。
146,① ネイチャーポジティブ経済の実現,,① ネイチャーポジティブ経済の実現,6,新たな概念「ネイチャーポジティブ経済」が追加され、内容が変化したため。
148,わたって,渡って,（白神山地・屋久島・知床・小笠原諸島・奄美大島、徳之島、沖縄島北部及び西表島）において、科学的知見に基づく順応的な保全管理を推進することにより、全人類共通の資産である世界自然遺産の顕著で普遍的な価値を将来にわたって渡って保護するとともに、持続可能な利活用を推進し、地域活性化に貢献する。,1,「渡って」から「わたって」への表記の統一（漢字→ひらがな）
148,生物圏,各生物圏,国立公園等の管理を通じて、登録された生物圏各生物圏保存地域（ユネスコエコパーク）の適切な保全管理を推進するとともに、地元協議会への参画を通じて、持続可能な地域づくりを支援する。また、新規登録を目指す地方公共団体に対する情報提供、助言等を行う。,6,「生物圏」への変更で意味が変わり、特定の生物圏を指さなくなったため。
150,⑦ 民間等による場所に紐付いた活動の促進,,⑦ 民間等による場所に紐付いた活動の促進,6,新たな活動の促進を示し、内容に意味の変化があるため。
150,自然共生サイトのように既に生物多様性が豊かな場所における活動に加え、管///理放棄地等において生態系を回復又は創出するものも含めて、民間等による自主///的な活動や地域における多様な主体が連携して行う活動を更に促進するため、「地域における生物の多様性の増進のための活動の促進等に関する法律」///（令和６年法///18///号///）を始めとした制度的検討を進めるとともに、それらの活動に対する各///種支援を行う。,,自然共生サイトのように既に生物多様性が豊かな場所における活動に加え、管理放棄地等において生態系を回復又は創出するものも含めて、民間等による自主的な活動や地域における多様な主体が連携して行う活動を更に促進するため、「地域における生物の多様性の増進のための活動の促進等に関する法律」（令和６年法律第18号）を始めとした制度的検討を進めるとともに、それらの活動に対する各種支援を行う。,3,法律名とその制定情報を補完しているため。
151,,（以下「重要海域」という。）,我が国は、これまでに生物多様性の観点から重要度の高い海域（以下「重要海域」という。）を抽出しており、今後、海洋保護区の拡充とネットワーク化を推進する。30by30目標について、海域では約17％の追加的な保全が必要であり、関係省庁が連携し、持続可能な産業活動が結果として生物多様性の保全に貢献している海域をOECMとすることを検討する。また、漁業等の従来の活動に加えて今後想定される海底資源の開発、自然エネルギーの活用などの人間活動と海洋における生物多様性の保全との両立を図る。,5,不要な括弧を削除した軽微な変更で、意味に影響しない。
151,さらに,更に,絶滅のおそれのある野生生物の情報を的確に把握し、定期的なレッドリストの見直しを行う。「絶滅のおそれのある野生動植物の種の保存に関する法律」（平成４年法律第75号）に基づく希少野生動植物種を指定し捕獲や譲渡などを規制するほか、生息地等保護区の指定や、個体の繁殖の促進や生息地等の整備・保全などが必要と認められる種について保護増殖事業を実施する。事業の実施に当たっては生息域内保全を基本としつつ、動植物園等と連携しながら生息域外保全や野生復帰の取組を進める。また、絶滅のおそれの高い種や個体群について、生殖細胞や種子等の保存を進め、絶滅危惧種の絶滅リスクの低減と遺伝資源の確保に努める。さらに更に、定量的な目標設定の下、生息・生育状況の改善を図り、事業を完了する事例を創出することなどにより、効果的な保全を推進する。,1,「更に」から「さらに」への表記の統一が行われているため。
154,保全と持続可能な利///用///賢明,保護///適正,ワシントン条約に基づく絶滅のおそれのある野生生物種の保全と持続可能な利用保護、ラムサール条約に基づく国際的に重要な湿地の保全及び賢明適正な利用,6,「保護」から「保全と持続可能な利用」への変更で意味が変わる。
154,（ワイズユース）,,（ワイズユース）、二国間渡り鳥等保護条約や協定を通じた渡り鳥等の保全、カルタヘナ議定書に基づく遺伝子組換え生物等の使用等の規制を通じた生物多様性への影響の防止、名古屋議定書に基づく遺伝資源への適正な取得と利益配分等の国際的取組を推進する。,6,「ワイズユース」の追加で内容に新たな意味が加わったため。
158,,具体的には、動静脈連携を促進するための資源循環情報の把握や、各種デジタル技術を活用した情報基盤整備に関する施策を進める。,具体的には、動静脈連携を促進するための資源循環情報の把握や、各種デジタル技術を活用した情報基盤整備に関する施策を進める。,6,施策の具体的内容が削除され、意味が変わっているため。
161,「平成二十三年三月十一日に発生した東北地方太平洋沖地震に伴う原子力発電所の事故により放出された放射性物質による環境の汚染への対処に関する特別措置法」（平成23年法律第110号。以下「放射性物質汚染対処特措法」という。）,放射性物質汚染対処特措法,東日本大震災に伴う東京電力福島第一原子力発電所の事故により放出された放射性物質によって汚染された廃棄物及び除染等の措置に伴い発生した土壌等については、「平成二十三年三月十一日に発生した東北地方太平洋沖地震に伴う原子力発電所の事故により放出された放射性物質による環境の汚染への対処に関する特別措置法」（平成23年法律第110号。以下「放射性物質汚染対処特措法」という。）放射性物質汚染対処特措法及び同法に基づく基本方針等に基づき、引き続き、適正かつ安全に処理を進めていく。,3,略称を正式名称に変換し、法律名を補完したため。
161,中間貯蔵・環境安全事業株式会社法において、中間貯蔵開始後30年以内に福島県外で最終処分を完了するために必要な措置を講ずることが明記されており、国として責任を持って取り組んでいく。「中間貯蔵除去土壌等の減容・再生利用技術開発戦略」の目標年度である2024年度に、それまでの検討結果を踏まえ、福島県外での最終処分に向けた2025年度以降の取組の進め方を示していく。再生利用先の創出等については、関係省庁等の連携強化等により、政府一体となった体制整備に向けた取組を進め、地元の理解を得ながら具体化を推進する。,,中間貯蔵・環境安全事業株式会社法において、中間貯蔵開始後30年以内に福島県外で最終処分を完了するために必要な措置を講ずることが明記されており、国として責任を持って取り組んでいく。「中間貯蔵除去土壌等の減容・再生利用技術開発戦略」の目標年度である2024年度に、それまでの検討結果を踏まえ、福島県外での最終処分に向けた2025年度以降の取組の進め方を示していく。再生利用先の創出等については、関係省庁等の連携強化等により、政府一体となった体制整備に向けた取組を進め、地元の理解を得ながら具体化を推進する。,3,法律名「中間貯蔵・環境安全事業株式会社法」が明記されたため。
161,,検討などの取組や2025年度以降の最終処分の事業実施に係る調査検討・調整などの取組を、国民の理解の下、地方公共団体等の関係者と連携しつつ、政府一体となって進める。,除去土壌等の最終処分に向けた減容に関する技術開発や、再生利用の技術的な検討などの取組や2025年度以降の最終処分の事業実施に係る調査検討・調整などの取組を、国民の理解の下、地方公共団体等の関係者と連携しつつ、政府一体となって進める。,6,文章の削除により、国民理解や関係者連携の重要性が削除されたため。
162,「廃棄物の処理及び清掃に関する法律」（昭和45年法律第137号。以下,,（平成25年法律第60号）において放射性物質に係る適用除外規定の削除が行われなかった「廃棄物の処理及び清掃に関する法律」（昭和45年法律第137号。以下,3,法律名の正式名称を明記し補足したため。
162,「廃棄物処理法」という。）,廃棄物処理法,「廃棄物処理法」という。）廃棄物処理法、土壌汚染対策法その他の法律の取扱いについて、放射性物質汚染対処特措法の施行状況の点検結果も踏まえて検討する。,3,略称「廃棄物処理法」を正式名称に変換したため。
165,さらに、,更に,し、アジア地域13カ国の水環境管理に携わる行政官のネットワークであるアジア水環境パートナーシップ（WEPA）により、アジア各国との連携強化・情報共有の促進、各国の要請に基づく水環境改善プログラム（アクションプログラム）支援等を実施し、水環境ガバナンスの強化を目指す。さらに、更にそれらの情報を世界フォーラム等の場で発信し、世界の水環境改善に貢献すべく国際協力を進めていく。,1,「更に」を「さらに」に変更し、表記を統一したため。
165,資源循環促進法,資源循環法,海洋ごみやプラスチック汚染に関する国際的な合意や野心の下、プラスチック資源循環促進法資源循環法その他の関係法令等によるプラスチック製品の設計から廃棄物の処理に至るまでのライフサイクル全般にわたる包括的な資源循環体制の強化等とともに、海岸漂着物処理推進法等に基づき、海岸漂着物対策を総合的かつ効果的に推進する。具体的には、マイクロプラスチックを含む海洋・河川等環境中に流出したごみに関する量・分布等の実態把握や、マイクロプラスチックを含む海洋プラスチックごみによる生物・生態系への影響に関する科学的知見の集積、地方公共団体等が行う海洋ごみの回収・処理（大規模な自然災害等により大量に発生する海岸漂着物等の処理を含む。）や発生抑制対策への財政支援、地方公共団体・企業・漁業者・住民等の地域内の多様な主体の連携及び瀬戸内海での広域連携、広報活動等を通じた普及啓発等を実施する。また、海洋環境整備船を活用した漂流ごみ回収の取組を実施する。さらに、外国由来の海洋ごみへの対応も含めた国際連携として、海洋表層マイクロプラスチック等のモニタリング手法の調和、データ共有システムの整備や、アジア地域等においてプラスチックを含む海洋ごみの実態把握や発生抑制に関する協力を進める。,6,法律名の変更により、意味が変わっているため。
167,や、大気中のマイクロプラスチックの測定手法に係る調査,や,大気汚染の状況を全国的な視野で把握するとともに、大気保全施策の推進等に必要な基礎資料を得るため、大気汚染防止法に基づき、国及び都道府県等では常時監視を行っている。引き続き、リアルタイムに収集したデータ（速報値）を「大気汚染物質広域監視システム（そらまめくん）」により、国民に分かりやすく情報提供を行う。その他、酸性雨や黄砂、越境大気汚染の長期的な影響を把握することを目的としたモニタリングや、放射性物質モニタリングや、大気中のマイクロプラスチックの測定手法に係る調査を引き続き実施する。,6,新たな調査内容の追加により、文の意味が変わっているため。
170,「化学物質の審査及び製造等の規制に関する法律」（昭和48年法律第117号。以下,,「化学物質の審査及び製造等の規制に関する法律」（昭和48年法律第117号。以下,3,法律名の正式名称を補完しているため。
170,「///」という。///）,,「化学物質審査規制法」という。）に基づく一般化学物質等のスクリーニング評価及び優先評価化学物質のリスク評価を引き続き円滑に実施するとともに、関係省の合同審議会において、進捗状況の確認及び進行管理を適切に行う。また、化学物質の評価について、欧米で研究が進む新たな評価手法（NAMs）について、我が国においても研究開発を推進し、各法令・制度における適切な活用方策を検討する。,3,法律名「化学物質審査規制法」の補完が行われたため。
170,「特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律」（平成11年法律第86号）,化学物質排出把握管理促進法,「特定化学物質の環境への排出量の把握等及び管理の改善の促進に関する法律」（平成11年法律第86号）化学物質排出把握管理促進法に基づくPRTR制度及びSDS制度については、最新の科学的知見や国内外の動向を踏まえた見直し及び適切な運用を通じて、事業者による化学物質の自主的管理の改善を促進し、環境の保全上の支障の未然防止,3,略称を正式名称に変換し、法律名を明記したため。
171,「水銀による環境の汚染の防止に関する法律」（平成27年法律第42号）,水銀汚染防止法,水銀に関する水俣条約への対応については、条約の規定事項が水銀及び水銀化合物の採掘から廃棄までライフサイクル全体にわたる広範な内容であることを踏まえ、国内において「水銀による環境の汚染の防止に関する法律」（平成27年法律第42号）水銀汚染防止法等に基づく包括的な水銀対策を着実に推進する。,3,略称「水銀汚染防止法」を正式名称に変換したため。
171,「///」,,非意図的に生成されるダイオキシン類については、「ダイオキシン類対策特別措置法」,3,法律名「ダイオキシン類対策特別措置法」を補完しているため。
171,（平成11年法律第105号）,,（平成11年法律第105号）に基づく対策を引き続き適切に推進する。,3,法律名を明記して出典を補完したため。
172,,。,また、化学物質審査規制法に基づく既存化学物質のリスク評価を行い、リスクを生ずるおそれがあると認められるものを第２種特定化学物質に指定し、所要の処置を講じる。。,5,句読点の削除で、文の意味に影響を与えない変更。
182,・,,このため、第２部第２章３（１）で述べた施策を推進するほか、地域脱炭素の加速化に向けた「重点対策」として、政府による財政・技術・情報支援を通じて、地方公共団体は、公営企業を含む全ての事務及び事業について、地域脱炭素の基盤となる重点対策（地域共生・ひ益型の再生可能エネルギー導入、公共施設等のZEB化、公用車における電動車の導入等）を率先して実施するとともに、企業・住民が主体となった資源循環の高度化を通じた循環経済への移行、コンパクト・プラス・ネットワーク、食料・農林水産業の生産力向上と持続性の両立等の取組を更に加速する。なお、取組の全国展開に当たっては、第２部第２章３（１）を参照。,6,「nan」が削除され、文意が明確になり意味に影響を与えているため。
182,う,なう,加えて、地方自治体の職員等に対する、再生可能エネルギー導入等の脱炭素実現のメリットや手法等についての理解を深めるための官民研修を更に充実させる。とりわけ、令和５年度から開始した脱炭素まちづくりアドバイザー制度等の運用状況や、地方自治体をはじめとする地域の脱炭素支援のニーズを踏まえつつ、地方環境事務所、都道府県、地球温暖化防止活動推進センター等既存の組織に期待される役割・機能も検討した上で、複数の地方自治体等に対して脱炭素型の地域づくりに向けた計画策定から実行までの支援を一気通貫で行える中間支援体制の構築に向けた検討を行うなう。,5,「なう」の削除は文の意味に影響を与えない軽微な変更です。
182,行う,行なう,地域に貢献する脱炭素事業の構築に向けては、事業可能性調査を含む地域脱炭素の計画づくり支援や、衛星情報等最新のデジタル技術も活用したREPOSとEADASの拡充・連携強化、市町村カルテ・地域経済循環分析等の情報ツールの整備・拡充を行う行なう等、事業の構築を情報・技術面から支援する。,1,「行なう」から「行う」への表記の統一による正規化。
189,個別分野の重点的施策,重点戦略を支える環境政策,中央環境審議会は、2026年度及び2028年度において、各前年度に実施した個別策の点検結果を参照しつつ、第１部第２章において述べた今後の環境政策が果たすべき役割である「環境負荷の総量削減」「自然資本の維持、回復、充実」「環境価値の高付加価値化」「『ウェルビーイング／高い生活の質』の実現」「環境・経済・社会の統合的向上」が、各重点戦略において如何に進捗したかを把握することに力点を置いて点検を行う。また、これらの観点から、重点戦略に関連した官民の取組の優良事例のヒアリングを実施する。併せて、個別分野の重点的施策重点戦略を支える環境政策及び環境保全施策の体系についても、各施策が進捗しているかの点検を行う。これらの結果を踏まえ、環境基本計画の総合的な進捗状況に関する報告書を作成する。,6,追加と削除により、施策の焦点が変わっているため。
