id,comment,reply,該当変更点情報
282,"第 2 部環境政策の具体的な展開>第 3 章 個別分野の重点的施策の展開>2 循環型社会の形成、3生物多様性の確保・自然共生、4 環境リスクの管理等
上記「4.意見の該当箇所」について、人的な温室効果ガス排出規制（ネット・ゼロ）や人々の満足度（ウェルビーイング）に留まらず、自然再興（ネイチャーポジティブ）を実現していくこと、ならびに、人間の健康は地球の自然システムと一体的に捉える「プラネタリー・ヘルス」という考え方に基づき、「国民一人一人が地球環境の悪化を自らの健康と紐づけて」自ら考えていく取り組みに賛同致します。
第  5 回国際化学物質管理会議（ICCM5）で採択された「Global  Framework on Chemicals (GFC)ーFor a Planet Free of Harm from Chemicals and Waste」に関して「すべての主体が包括的に参加することを目指し、規制的手法にとどまらず、自主的で効果的な資源動員を通じた行動変容の促進が求められている」との記述が第六次環境基本計画に記されており、一市民として責任を痛感します。
一方で「第 1 部環境・経済・社会の状況と環境政策の展開の方向」で記されている危機意識も多く共有するところですが、それらを打開する展開・見通しが第六次環境基本計画で具体的に示されておらず、不安を感じます。
個人的な理解ですが、地球環境の浄化・再生に人類はほとんど貢献しておらず、専ら地球の自然および生態系に責任を転嫁し続けているようにしか見受けられません。
ミネラルを含む土と水が生命を育み、地球環境の浄化・再生をし続けている（URL 参照）という根本原理に基づいた技術開発・施策推進を具体的に展開して頂きたくお願い申し上げます。
https://note.com/fukui0910/n/nf3efe19fb713",ご指摘の環境危機を踏まえ、環境政策の基本的な考え方を踏まえた具体的な戦略は第 ２部以降に記載しております。いただいたご意見は今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 3
  理由: 「プラネタリー・ヘルス」の考え方に関連
- 変更ID: 44
  理由: 「プラネタリー・ヘルス」に関する議論の活発化に関連
- 変更ID: 182
  理由: 「プラネタリー・ヘルス」の概念に関連"
283,"P116  L23 ～ P119  L5
循環型社会の項についてであるが、事業者に関しての言及はあるが、家庭ごみの処理を担っている地方公共団体について言及がない点が気になる。国際的な国別廃棄物処理の比較で、日本のリサイクル率が低い値である。この要因は、焼却ゴミの量の国別の値などの資料を参考に考えれば、家庭ごみのほとんどが焼却されていることが主因だと考えられる。家庭ごみの処理方法の決定は、それぞれの地方公共団体が行っていることが基本であることを考えれば、地方公共団体が焼却以外のリサイクルの手段を積極的に活用することを明記すべきである。
また、基本計画に直接記すべき内容ではないが、平成 26 年 7 月の新下水道ビジョンや平成 27 年度の下水道法改正等で示された、汚泥の活用と合わせて生ゴミのバイオマス資源化もより一層推進してほしい。","国際的なリサイクル率の比較については、各国の算定方法と我が国のリサイクル率の算定方法が異なることから、「日本のリサイクル率が低い」とまでは言えないと考えます。加えて、循環型社会形成推進基本法に基づき、循環資源については、資源の使用量を減らす、再利用する、リサイクルする、熱回収する、という順で処理を行うこととされており、この点については、P115  L1７～１９においても記載されているところであり、地方公共団体が焼却以外のリサイクルの手法を積極的に活用することとなります。
また、P11４ L3１以降においても地方公共団体を含む主体が連携して資源循環の取組を促進する旨の記載をしており、地方公共団体がリサイクルの手法を活用する方向性を記載しています。
以上のことから、原案のとおりとさせていただきますが、いただいたご意見は、今後の施策の参考とさせていただきます。",該当変更点: 該当なし
284,"P117（２）
廃棄物のプラスチックがない。たしかに、プラスチックは安価だが、こっちをまず非化石化すべき。",プラスチックに係る資源循環の促進等に関する法律では、環境配慮設計指針を策定しており、製造事業者等にプラスチック以外の素材への代替や利用等を促しています。なお、ご意見については、今後の施策の参考とさせていただきます。,"該当変更点:
- 変更ID: 158
  理由: 「プラスチックに係る資源循環の促進等に関する法律」に関する記述が追加されているため。"
285,"P 36 頁  4 環境面の主に 30 年の振り返りと課題認識
P118  (4)資源循環・廃棄物管理基盤の強靱化と着実な適正処理・環境再生の実行適正処理に再生利用を含むのか。
除去土壌を再生利用することは全国に放射性物質を拡散することであり、それを福島県の環境再生と地域復興のための手段とすべきではない。そうではなくて、当面は除去土壌を中間貯蔵施設で適正に管理し、その間に最終処分のあり方を福島県民、浜通りの関係町村住民、自治体、そしてこれに意見を有する民間団体との公開の対話を通じて、方策を決定するプロセスを設けることに変えるべきである。
除去土壌再生利用は国民に何の利益ももたらさず害悪でしかない。本来不必要な処理であり、一元管理すべき。その前にまずは環境関連法で放射性物質除外規定が残っているものを削除し、規制基準を制定すべきである。8000 ㏃/㎏は緊急時対応の暫定的な基準であり、恒久化すべきでなく、速やかに 100 ㏃/㎏に戻すべきである。放射性物質汚染対処特措法は必要な規制が整備されておらず欠陥法であるため、関係者特に地域住民に混乱を招いている。抜本的に見直し、廃止に向けて議論を進める必要がある。","除去土壌の再生利用については、利用先を管理体制が明確で、適切な管理が可能な公共事業等において、限定的に利用することを考えており、再生利用の前提となる基準省令等の策定に向けた検討を進めているところです。また、これまで福島県内で実証事業を実施してきており、安全に再生利用を実施できることを確認しております。さらに、東日本大震災復興基本法第３条に基づき閣議決定された『「第２期復興・創生期間」以降における東日本大震災からの復興の基本方針』にも、「最終処分量を低減するため、国民の理解の下、政府一体となって除去土壌等の減容・再生利用等を進めることが重要」と記載されています。
引き続き、東京電力福島第一原子力発電所の事故により、当該原子力発電所から放出された放射性物質による環境の汚染が人の健康又は生活環境に及ぼす影響が速やかに低減されるよう、法律に基づいて着実に進めてまいります。
放射性物質に係る適用除外規定が削除されていない環境関連法令の取扱いについては、放射性物質汚染対処特措法の施行状況の点検結果も踏まえて検討してまいります。","該当変更点:
- 変更ID: 190
  理由: 除去土壌の再生利用と最終処分に関する体制整備について言及している。
- 変更ID: 209
  理由: 福島県外での最終処分に向けた取組の進め方について言及している。"
286,"p.118
放射性物質により汚染された廃棄物の適正処理及び除去土壌等の最終処分に向けた減容・再生利用などを地方公共団体等の関係者と連携しつつ、政府一体となって着実に進め、とあるが、除去土壌はセシウムなど放射性物質が含まれている。8000Bq/kg 以下の再生利用を考えているようだが、これに法的根拠はない。除去土壌＝汚染土のは紛れもない環境悪化要因となる。集中管理保管するべきだ。","除去土壌の再生利用については、利用先を管理体制が明確で、適切な管理が可能な公共事業等において、限定的に利用することを考えており、再生利用の前提となる基準省令等の策定に向けた検討を進めているところです。また、これまで福島県内で実証事業を実施してきており、安全に再生利用を実施できることを確認しております。さらに、東日本大震災復興基本法第３条に基づき閣議決定された『「第２期復興・創生期間」以降における東日本大震災からの復興の基本方針』にも、「最終処分量を低減するため、国民の理解の下、政府一体となって除去土壌等の減容・再生利用等を進めることが重要」と記載されています。
引き続き、東京電力福島第一原子力発電所の事故により、当該原子力発電所から放出された放射性物質による環境の汚染が人の健康又は生活環境に及ぼす影響が速やかに低減されるよう、法律に基づいて着実に進めてまいります。
放射性物質に係る適用除外規定が削除されていない環境関連法令の取扱いについては、放射性物質汚染対処特措法の施行状況の点検結果も踏まえて検討してまいります。","該当変更点:
- 変更ID: 208
  理由: 放射性物質汚染対処特措法の詳細追加
- 変更ID: 209
  理由: 除去土壌の再生利用と最終処分に関する取組の詳細追加
- 変更ID: 210
  理由: 除去土壌の再生利用と最終処分に関する取組の詳細削除
- 変更ID: 211
  理由: 廃棄物処理法の適用除外規定に関する詳細追加
- 変更ID: 212
  理由: 廃棄物処理法の適用除外規定に関する詳細削除"
287,"P120  L29～40
P119「3 生物多様性の確保・自然共生」の内容はぜひ進めるべきと思いますし、また重要な課題と考えます。P120 の「ネイチャーポジティブ経済の実現」「生活・消費活動における生物多様性の価値の認識と行動（一人一人の行動変容）」については、日ごろから様々なニュースを見るにつけ喫緊の課題であると感じます。個人、ビジネス界などいろいろな部分で取り組む課題とは思いますが、その一端として非常に重要な役割を担う「地方行政」において、担当者に知見がない、知識が古い、担当者の定期的な異動により施策遂行に一貫性が保たれない、ということに問題を感じています。一度失ってしまったものを取り戻すのに長い年月がかかる、もしくは二度と戻すことのできないものが多く存在するジャンルにおいて地方行政における知見不足は、致命的な損失をもたらすと思います。スペシャリストの起用の推進や地方行政内でのスペシャリストの育成、その重要性の浸透に力を入れることを強く促進してほしいです。","当該箇所は、生活・消費活動における生物多様性の価値の認識と行動について示したものであり、地方行政について記述するものではないことから、原案のとおりとさせていただきます。
なお、第２部第１章「2 パートナーシップの充実・強化（1）パートナーシップの前提となる各主体の役割」の P5４でも地方公共団体の重要性について触れていますが、地方公共団体における人材の採用については、生物多様性に限らず地域の様々な実情に応じて各地方公共団体において検討されるものです。",該当変更点: 該当なし
288,"121 頁  ① 人の命と環境の保護
以下のとおり修正していただきたい。（『』は追加）
大気、公共用水域、地下水、土壌等の汚染・汚濁を防止することにより、国民の健康と生活環境を守るための施策は、環境行政の出発点であり、『第１部で述べられたプラネタリー・ヘルス、すなわち、人間の健康と環境の健全性を一体的に保全する考え方にも合致することから、』今後も揺るぎなく着実に推進していく。 生存基盤たる水・大気・土壌環境については、環境基準を達成し、また、継続的な改 善を図るため、「大気汚染防止法」、「水質汚濁防止法」、「土壌汚染対策法」等関連  法令に基づく対策を引き続き適切に実施していく。 特に、…公害の発生を未然防止に努めるとともに、『環境基準達成の』ボトルネックとなるメカニズムの解明にも努める。
理由：本計画第 1 部第 1 章 3（1）を 参照、また、言葉を補いました。",「国民の健康と生活環境を守るための施策」と記載が重複すること、また、メカニズムの解明のみが環境基準達成に寄与するわけではないことから、原案のとおりとさせていただきます。なお、「公害の未然防止に努める」については、ご意見を踏まえ修正いたします。,"該当変更点:
- 変更ID: 180
  理由: 「大気汚染防止法」等の関連法令に基づく対策の実施に関する記述がある。
- 変更ID: 181
  理由: 「公害の未然防止に努める」についての修正が反映されている。"
289,○123 頁 21 行：「PFOS 等」と記載されていますが、ストックホルム条約では PFOS の他、PFOA やPFHxS とそれらの関連物質も廃絶対象に決定済みであり、長鎖 PFCA とその関連物質の検討も進み、範囲が大きく拡大されているため、ここでは「PFAS」という表記のほうがより適切です。,「PFAS」はペルフルオロアルキル化合物及びポリフルオロアルキル化合物の総称であり、ストックホルム条約の規制対象物質に限らないため、ここでは「PFOS  等」の方が適切と考えていますので原案のとおりとさせていただきます。,該当変更点: 該当なし
290,"【123 ページ化学物質管理について】
国民一人一人が地球環境の悪化を自らの健康と紐づけて考え、自主的、積極的に環境負荷の低減に資する行動をとることが必要とありますが、現実的ではないです。環境汚染が、あるとわかっていても便利だからとプラスチックを多様し、時短になるからと強力な薬剤を多用して掃除などをする人ばかりです。薬品が混ざった結果どんなリスクが発生するか考慮できる人ばかりではありません。ミスをするのが人間です。もとより環境汚染が激しくなると推察されるような商品は市場に出回らないように予め予防原則によって規制していただきたいです。いらなくなったからと、薬剤をそのまま水に流す人も大量にいます。処理できないような汚染をもたらす商品は売らないでいただきたいです。","P163 L39-P16４ L1 等において、「極めて深刻な環境影響等が懸念される問題については、科学的に不確実であることをもって対策を遅らせる理由とはせず、科学的知見の充実に努めながら、予防的な対策を講じる 」としており、予防的な取組方法の考え方を活用し、政策を推進してまいります。
以上のことから、原案のとおりとさせていただきます。",該当変更点: 該当なし
291,"（５）第２部第３章４の（２）の②「情報に基づく意思決定と行動を支援する･･･アクセスできる状態の確保」（１２４頁）
＜意見＞「上流から下流まで及び再生段階を含めたライフサイクル全体を通じた素材・製品中の化学物質に関する情報（以下「本情報」という）の共有のさらなる促進」については大賛成だが、そのためには自主的取組みでは甚だ不十分で、法整備が不可欠である。本情報が最上流の製造者から最下流の消費者にまで伝達されるＩＴを活用した仕組みと情報提供の義務化のあり方について、関係省庁と連携し、早急に法制化を前提とする検討に着手すべきである。
＜理由＞循環経済社会の構築にあたっては、製品に含有される化学物質に関する情報がライフスタイル全体を通じて伝達される仕組みの構築が不可欠である。現行の家庭用品品質表示法だけでは極めて不十分であることは明らかであり、上記のような情報伝達を可能とする新たな法律の制定が早急に求められている。",いただいたご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
292,"【124 ページ情報に基づく意思決定と行動を支援する知識・データ・情報が作成され、利用が可能となりアクセスできる状態の確保について】
化学物質の製造や化学物質の移動・排出データ、及び化学物質の人体中濃度、ばく露源、生物相や環境のモニタリングデータの収集・利用しやすい形での公開に努めるとありますが、アンケート調査もしていただきたいです。例えば学校内や職場で、薬剤をしようしたとして、体調を崩したとしても根拠がまだわからないからと、放置しないでいただきたいです。根拠がまだ不明なだけの可能性があります。更なる調査で原因が発生する可能性があります。ワックスがけや制汗剤、消臭スプレーや芳香剤、香り長持ち洗剤や柔軟剤、消臭抗菌洗剤などで体調を崩す人がいます。そのような声を放置せず、学校や職場でアンケート調査をして、被害の声が多数ある場合は原因を調査し、判明するまで疑わしい化学物質は排除する、予防原則に則った対応をしていただきたいです。",いただいたご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
293,"【125 ページ環境保健対策】
公害による健康被害について、企業への責任も追求していただきたいです。公害によって、環境汚染や健康被害をもたらした企業に対して、行政による適切な指導や、環境汚染へ対応するための費用の徴収や被害者への補償をするように追記していただきたいです。",「公害健康被害の補償等に関する法律」（昭和 48 年法律第 111 号）に基づき、汚染者負担の原則を踏まえつつ、認定患者に対する補償給付や公害保健福祉事業を安定的に行い、その迅速かつ公正な救済を図ることとしており、その旨 p12３「① 公害健康被害補償」に記載がありますので、原案のとおりとさせていただきます。,該当変更点: 該当なし
294,"125 頁（3）環境保健対策
以下のとおり修正していただきたい。（『』は追加）
公害により健康が一旦損なわれると、それを取り戻すことが不可能又はその回復を図ることが極めて困難なものであり、る。健康被害を未然に防止し、又は不幸にして健康被害が発生した場合に速やかにその救済を図ることは、環境行政の出発点であり、『第１部で述べられたプラネタリー・ヘルス、すなわち、人間の健康と環境の健全性を一体的に保全するという点においても、』最も重要な役割である。このため、公害による健康被害については、『最新の科学的知見を活用し、』…予防のため の措置を適切に講じ、…",ご指摘の趣旨は p12０「（２）  化学物質管理」に記載がございますので、原案のとおりとさせていただきます。,"該当変更点:
- 変更ID: 44
  理由: プラネタリー・ヘルスに関する議論が活発化している点が関連している。"
295,"（６）第２部第３章４の（２）環境保健対策（１２５頁）
＜意見＞香害等の未解明の問題に対処するための原因究明は、環境保健対策のひとつと考えられるところ、以下の問題についての原因究明を関係省庁と連携して行う必要があることを明記すべきである。
記
①いわゆる「香害」の原因究明
②いわゆる「発達障害児」の増加の原因としての有害化学物質の関与
③少子化の要因のひとつとして指摘される有害化学物質の関与
＜理由＞「香害」、「発達障害児の増加」、「少子化危機」の要因のひとつとして、有害化学物質の関与が指摘されているが、これらの問題についてその解明を行う責任を負う部局がどこなのかは必ずしも明確にされていない。しかしながら、本案にも記載されているように、「健康被害を未然に防止し、又は不幸にして健康被害が発生した場合に速やかにその救済を図ることは、環境行政の出発点であり、最も重要な役割である」（１２５頁）ことから、環境保健対策のひとつとして、環境省が、関係省庁と連携しつつ、率先してその解明に取組むことが必要である。","P８９ L２７-４０,P120 L１４-P12１ L６等に記載の基本的な考え方に沿って、 P16２ L ７-１３のとおり、化学物質のライフサイクル全体を通じた環境リスクの最小化を目指すこととしており、御指摘の点も今後の施策の参考としつつ包括的な化学物質対策に関する取組を進めてまいります。
以上のことから、原案のとおりとさせていただきます。",該当変更点: 該当なし
296,"127 頁（1）環境影響評価
以下のとおり修正していただきたい。（『』は追加）
持続可能な社会の実現に向けて計画などを策定する段階から環境配慮の組み込みを図るとともに、国、地方公共団体及び関係団体等が連携・協力した環境影響評価制度によって、事業における適正な環境配慮を確保することにより、健全で恵み豊かな環境の保全を図り、国民一人ひとり一人、『とりわけ環境影響によって最も影響を受ける農村や遠隔地の人々、マイノリティ、避難民、高齢者、女性、子供等の』「ウェルビーイング／高い生活の質」の実現に貢献する。『その際、第１部に述べられたプラネタリー・ヘルス、 すなわち、環境と健康との相互連関にも留意すべきである。』
理由： G7 長崎保健大臣宣言（2024 年 5 月 14 日）パラ 37 、「SDGs 実施指針」6 頁を参照 しました。",ご意見の趣旨は、第 1 部で述べられており、内容が重複することから、原案のとおりとさせていただきます。,該当変更点: 該当なし
297,"ページ 127～128  （1）環境影響評価について
内容が風力発電（とくに洋上風力）に偏っている印象がある。再生可能エネルギー開発においては、事業分割によるアセス逃れや釧路市の建設規制のガイドラインに違反してキタサンショウウオの生息地で太陽光発電所の建設工事を進めていた事案など倫理性の欠いた多くの問題を抱えている。再生可能エネルギーの普及に関しては国民の負担となる再エネ賦課金の徴収による固定買い取り制度での利益保証などの行き過ぎた推進政策には違和感が生じる。これらの過剰なまでの再エネ推進政策は自然や市民への配慮のない大規模で強引な開発を助長するものであると思われる。本来、環境の悪化を防ぐために行われるべき再生可能エネルギーの普及が過剰な利益保証によって、環境破壊の要因となっていることは問題であり、再エネ賦課金や固定買い取りなどの制度から抜本的な見直し・廃止の検討も必要であると思われる。",再生可能エネルギー発電設備の不適正な導入による環境への悪影響を防ぎ、地域の自然の恵みを損なうことなく地域の合意形成を図りつつ、地域共生型の再生可能エネルギーの積極的な導入を目指す必要がある旨を記載しているため、原案のとおりとさせていただきます。ご意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
298,"（127～128 ページ）
・環境アセスメント図書の継続公開の制度化について、法的な課題も踏まえ検討していくこと、
・風力発電事業に関しては、事業の特性を踏まえた適切な環境影響評価制度の在り方について迅速に検討を進めること、
・再エネ海域利用法に基づく促進区域指定と環境影響評価法に基づく環境影響評価手続は、それぞれが独立した制度となっているため、両制度が並行して適用されること等による課題が指摘されている。そのため、両法律が適切に接続される制度実現に向けた取組を進めていくこと、
・陸上風力発電事業についても、適正な環境配慮を確保しつつ、地域共生型の事業を推進する観点から、地域の環境特性を踏まえた効率的・効果的な環境アセスメントが可能となるよう、環境影響の程度に応じて必要なアセスメント手続を振り分けること等を可能とする新たな制度を検討すること、
・法に基づく環境影響評価制度を適切に施行するため、
*環境影響評価に必要となる基礎的な環境情報や過去の実施事例等の情報に係る基盤の整備
*環境影響評価に係る最新の技術的手法の研究開発・普及・環境影響評価に係る外部専門人材の育成
*環境影響評価手続における審査体制等の強化
*報告書手続等を活用した環境影響評価のフォローアップの実施
の取り組みを進めること、
について記載された点を評価いたします。
一方で、
・洋上風力発電について、海洋空間計画を伴って海洋環境保全と洋上風力発電の導入とが両立または共存可能な立地選定が行われるべきであること、
・金融機関、NGO・NPO などの間のパートナーシップを強化しつつ、陸上および洋上風力発電施設の導入にあたり、より良い環境配慮を行おうとする発電事業者が選定されるような仕組みを作ること、
・陸上および洋上風力発電のための立地選定に資する目的で、動植物等の環境ベースデータの整備を進めていく必要があること、
・風力発電施設の導入にかかる環境影響評価に資する目的で、事前事後モニタリング技術や観測機器の開発を促進する必要があること、
・事業者による再エネ施設の建設後に行うべき事後モニタリングの実施とその結果の公開を法的に義務付け、実際にいつ、どこで、どのような鳥類や野生動物が風車などの再エネ関連施設による影響を受けるのか情報を蓄積していく必要があること、
・陸上および洋上風力発電において共通課題となっている累積的環境影響評価の手法開発および手引の作成を行う必要があること、を記載すべきです。
これらの取り組みも行っていくことにより、再生可能エネルギーの導入促進と生物多様性の保全の両立がさらに促進するものと考えます。",個別具体の政策について一つ一つ詳細な記載をすることは困難であるため記載しておりませんが、いただいたご意見を参考に今後の施策を進めてまいります。,"該当変更点:
- 変更ID: 185
  理由: 洋上風力発電の環境影響評価制度の課題に関連
- 変更ID: 125
  理由: 環境影響評価法の特例措置に関連"
299,"・127 頁 19 行目
（意見）
「持続可能な社会の実現に向けて計画などを策定する段階から」の「計画」の前に「政策・」を追加する。
（理由）
戦略的アセスメントを実施するためには、計画の段階からだけでは不十分であり、評価対象としてより上位の「政策」も含めるべきである",御指摘を踏まえ、「持続可能な社会の実現に向けて施策・計画などを策定する段階から」と修文いたします。,"該当変更点:
- 変更ID: 184
  理由: コメントの提案に基づき「施策・」が追加された。"
300,"・127 頁 28 行目
（意見）
「より適正な環境配慮を確保するための制度の在り方について総合的な検討を行う。」の後に、次の文言を追加し、同行最後の「例えば」を削除する。「特に、立法、政策、計画又はプログラムについて環境に影響を与えるおそれのある影響を評価する戦略的環境アセスメントについては、現行の配慮諸制度では不十分であるため、市民参画の重要性を十分に考慮し、早期に導入する。また、環境影響評価制度の実効性を確保する観点から、①実施期間の早期化、②行政調査・命令・罰則規定の整備、③対象事業の範囲の拡大、④脱法規定の制定、⑤累積的影響評価の義務化等について検討してする。さらに、評価制度の信頼性及び実効性を確保する観点から、評価に関して不服申立制度を設け、環境団体を含む市民にも行政上及び司法上の救済手続きを整備することを検討する。その他にも、」を追加する。
（理由）
日本おける戦略的環境アセスメントは、諸外国に比して遅れており、かねてより導入の必要性が指摘されているが、いまだ導入されていない。例えば、環境影響評価制度の問題点や提案に関しては、次のとおり、数多
くの文献が存在する。2011 年の前回改正時に積み残した環境影響評価制度の問題点を再度総点検し、検討することが不可欠である。
‐日本弁護士連合会(2008 年 11 月 18 日）「環境影響評価法改正に係る第一次意見書」
https://www.nichibenren.or.jp/library/ja/opinion/report/data/081118_2.pdf9
‐東京弁護士会（2009 年 2 月）「環境影響評価法改正に係る意見書」
https://www.toben.or.jp/message/ikensyo/pdf/20090209_02.pdf
- 環境アセスメント学会会長 藤田八暉（令和 5 年 7 月 27 日 ）「第六次環境基本計画への提言」
http://www.jsia.net/3_activity/proposal/proposal_230727.pdf
- 関根孝道（2010.3）「環境影響評価制度をめぐる法的諸問題（5）法改正の方向性について」『総合政策研究』(34) pp.15～55 https://kwansei.repo.nii.ac.jp/record/21823/files/20100729-4-12.pdf
‐ 原科幸彦(2023)「戦闘的環境アセスメント 導入に向けて」『環撹と公害』
52(4). pp,20-25.
具体的には、沖縄県における自衛隊基地建設においては、事業の実施機関や事業規模などの意図的な操作によるアセス逃れ（潜脱行為）が横行している。これも、③対象事業の範囲の拡大がなされていないこと、米国の NEPA などで不可欠の⑤累積的影響評価を、環境影響評価法がアセスの対象として明記していないこと、④脱法規定の制定がないこと等が要因となっている。（日本弁護士連合会(2008年 11 月 18 日）「環境影響評価法改正に係る第一次意見書」p.6．砂川かおり（2024）「南西諸島の軍事基地問題と環境アセスのあり方」『環境と公害』53（3）pp.15-20.）
環境アセス制度は、オーフス条約における「情報へのアクセス権」・「意思決定への市民参画権」を具体化する制度の代表例であり、評価制度の信頼性及び実効性を確保するための検討をこれ以上先延ばしにすべきではない。",御指摘を踏まえ、「持続可能な社会の実現に向けて施策・計画などを策定する段階から」と修文いたします。,"該当変更点:
- 変更ID: 184
  理由: コメントの「施策・計画などを策定する段階から」に関連。"
301,"・127 頁 30 行目
（意見）
「検討していく」の後に「ことや、市民参画の重要性に鑑み、ゼロオプションを含む代替案検討の義務付けについて積極的に検討していくことが挙げられる」を追加する。
（理由）
配慮書制度が導入されたものの、現行制度の環境影響評価では、十分な代替案検討が行われているとは言い難いため。（日本弁護士連合会「メガソーラー及び大規模風力発電所の建設に伴う、災害の発生、自然環境と景観破壊及び生活環境への被害を防止するために、法改正等と条例による対応を求める意見書」 https://www.nichibenren.or.jp/library/pdf/document/opinion/2022/221116_3.pdf 参照。",御指摘を踏まえ、「持続可能な社会の実現に向けて施策・計画などを策定する段階から」と修文いたします。,該当変更点: 該当なし
302,"127 ページ 28 行目 ※環境影響評価制度の在り方に関する部分・意見 2 及びその説明
「例えば」の後に「ネイチャーポジティブ（自然再興）及び自然共生社会実現の観点から、事業者への生物多様性オフセットの義務付けに向けた検討を進める。また、」を加える。
環境影響評価法が 1997 年に制定されましたが、今の制度では、開発事業を原因として、「自然」が減ることに、基本、変わりありません。これについて、開発事業前と比較して、「自然」を減らさない 考え・取組は「生物多様性オフセット」などと呼ばれ、米国、オーストラリア、ドイツ、英国等で、この考えに基づく制度が導入されています。
日本の環境影響評価制度への生物多様性オフセットの導入については、環境省から 2014 年に「環境影響評価における生物多様性オフセットの実施に向けて（案）」、2017 年に「参考事例集」、関連して 2022 年に「開発事業者と地域の連携事例集～開発事業をきっかけに取り組む SDG の実現～」が出されています。
しかし、いずれも事業者の自主的取組を期待するものであり、義務付けるものとなっておらず、生物多様性オフットの事例は、実際のところ、わずかしかありません。
「次期生物多様性国家戦略(案)に関する意見募集（パブリックコメント）の結果」（中央環境審議会自然環境部会生物多様性国家戦略小委員会（第 7 回）資料 3-1）において、生物多様性オフセットを含む様々な課題について、改正環境影響評価法附則第 10 条の規定を引用しつつ「施行状況の点検・見直しを行い、制度の在り方も含め検討する旨を本文に追記しました。」とれさました。
次期環境基本計画に、「事業者への生物多様性オフセットの義務付けに向けた検討を進める。」という文言を明記し、義務付けの実現を図っていく必要があります",P138 の２（１）「②ネイチャーポジティブ経済の実現」に「事業活動による生物多様性への負荷を可能な限り減らしてもなお残る負荷に関するオフセットなどの経済的手法も含め、生物多様性を主流化するための方策について検討を進める」と記載しており、御意見は今後の施策の参考とさせていただきます。,該当変更点: 該当なし
303,"P.69  L.15-16
環境アセスメント図書の継続公開の制度化について、法的な課題も踏まえ検討していく。
P.127  L.29-30
環境情報基盤の整備を図る等の観点から、環境アセスメント図書の継続公開の制度化について、法的な課題も踏まえ検討していく。
意見
環境アセスメント手続きの過程において、広く利害関係者との間で情報を共有し、議論にもとづく合意形成が重要である。しかし、現在の環境アセスメント図書の多くは、ダウンロードおよび印刷が不可能であり、縦覧期間後には閲覧不可能である。例えば、再生可能エネルギーのアセスメント図書の縦覧後に閲覧可能な図書は約  15%に留まり、国土交通省などの公共事業の多くも縦覧後の閲覧不可能である。このような状況では、気付かないうちに縦覧期限が過ぎ、事業の情報を得られなくなったり、環境影響の予測や評価が十分に行えない場合などが生じ、環境影響評価の本来の役割を果たすことができない。事業の影響を広く利害関係者と予測・評価して合意形成を図るためには、アセスメント図
書の常時公開の法整備を迅速に行うべきである。",御意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
304,"・128 頁 5 行目
（意見）
「進めていく。」の後に「適切な接続される制度実現に当たっては、地域住民の意見が適切に反映されることが重要であることに留意し、地域住民が法定協議会への構成員となることを再エネ海域利用法上明示するなど、地域住民が事業の計画段階から関与することができるようにすべきである。」を追加する。
（理由）
日本の環境影響評価制度に対しては、市民参画の重要性から戦略的環境アセスメント導入の必要性が諸外国との比較の観点から指摘されているところ、両制度の接続に当たってもその必要性は変わらないため。","再生可能エネルギー発電設備の不適正な導入による環境への悪影響を防ぎ、地域の自然の恵みを損なうことなく地域の合意形成を図りつつ、地域共生型の再生可能エネルギーの積極的な導入を目指す必要がある旨を記載しております。
よって、原案のとおりとさせていただきます。",該当変更点: 該当なし
305,"P.65  L.11-14
陸上風力発電事業についても、適正な環境配慮を確保しつつ、地域共生型の事業を推進する観点から、地域の環境特性を踏まえた効率的・効果的な環境義務教育のうちから、個々のレベルに合った育成を実施するとともに、社会人に対してはリ・スキリング支援の継続・補助の充実などをお願いしたいが可能となるよう、環境影響の程度に応じて必要なアセスメント手続を振り分けること等を可能とする新たな制度を検討する。
P.128  L.6-9
・陸上風力発電事業についても、適正な環境配慮を確保しつつ、地域共生型の事業を推進する観点から、地域の環境特性を踏まえた効率的・効果的な環境アセスメントが可能となるよう、環境影響の程度に応じて必要なアセスメント手続を振り分けること等を可能とする新たな制度を検討する。
意見
日本自然保護協会は、2006 年に会報「自然保護（No.492）」の特集で、当時「電気事業者による新エネルギー等の利用に関する特別措置法」（RPS 法）にもとづいて徐々に増加していた風力発電計画が、野生生物の生息地破壊につながる可能性を指摘している。同時に再生可能エネルギーの推進は自然保護のためにも必要性があることから、風力発電計画の立地適正化の必要性を発信してきた。しかし、現在に至るまで立地適正化に向けた政策形成の動きは停滞している。現在、規模に関わらず自然環境への影響の大きい風力発電計画が増加しており、当記述のように計画地の環境特性に応じて、アセスメント手続きの振り分けの迅速な導入により、自然環境への影響を配慮した風力発電の導入が図られることを期待する。",御意見は、今後の施策の参考とさせていただきます。,該当変更点: 該当なし
